expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_RESC,NR_COMP,CH	1 	0 	1 	0 	2 	4 	1 	0 	0 
INV_RESC,NR_COMP,CZ	0 	0 	0 	0 	0 	0 	1 	0 	1 
INV_RESC,NR_COMP,DE	15 	14 	17 	13 	22 	33 	45 	11 	12 
INV_RESC,NR_COMP,DK	0 	0 	1 	0 	3 	5 	3 	1 	0 
INV_RESC,NR_COMP,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,NR_COMP,ES	3 	1 	0 	3 	2 	2 	1 	4 	2 
INV_RESC,NR_COMP,EU15	46 	50 	61 	63 	99 	120 	145 	66 	51 
INV_RESC,NR_COMP,FI	4 	12 	5 	5 	12 	12 	12 	6 	4 
INV_RESC,NR_COMP,FR	3 	4 	7 	10 	12 	11 	11 	6 	7 
INV_RESC,NR_COMP,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,NR_COMP,IE	0 	0 	0 	1 	1 	3 	0 	3 	1 
INV_RESC,NR_COMP,IT	2 	0 	4 	2 	1 	12 	2 	6 	0 
INV_RESC,NR_COMP,LU	1 	0 	1 	1 	0 	0 	0 	1 	0 
INV_RESC,NR_COMP,NL	6 	9 	10 	12 	15 	15 	16 	8 	7 
INV_RESC,NR_COMP,NO	1 	4 	1 	2 	3 	7 	3 	1 	0 
INV_RESC,NR_COMP,PL	0 	0 	0 	1 	1 	2 	1 	1 	1 
INV_RESC,NR_COMP,PT	0 	1 	0 	0 	4 	2 	6 	0 	1 
INV_RESC,NR_COMP,RO	0 	1 	0 	0 	0 	0 	0 	1 	0 
INV_RESC,NR_COMP,SE	0 	0 	1 	0 	1 	2 	10 	4 	3 
INV_RESC,NR_COMP,UK	6 	8 	8 	10 	17 	12 	25 	11 	11 
INV_VEN,MIO_EUR,AT	27 	25 	26 	25 	25 	29 	36 	32 	38 
INV_VEN,MIO_EUR,BE	63 	127 	104 	128 	114 	92 	184 	186 	189 
INV_VEN,MIO_EUR,BG	1 	1 	2 	0 	0 	3 	6 	11 	0 
INV_VEN,MIO_EUR,CH	283 	179 	215 	129 	262 	227 	331 	497 	439 
